month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,Bishan,Bukit Merah,Bukit Timah,Downtown,Geylang,Kallang,Marine Parade,Museum,Newton,Novena,Orchard,Outram,Queenstown,River Valley,Rochor,Singapore River,Southern Islands,Tanglin,Toa Payoh,Bedok,Changi,Pasir Ris,Paya Lebar,Tampines,Ang Mo Kio,Hougang,Punggol,Seletar,Sengkang,Serangoon,Mandai,Sembawang,Sungei Kadut,Woodlands,Yishun,Bukit Batok,Bukit Panjang,Choa Chu Kang,Clementi,Jurong East,Jurong West,Pioneer
2005-01-01,96.7,8,163.2,83.3,6.5,26.6,24.395967741935483,527.3918823,414.6468226,1046.9648581,532.1907037,494.4588177,455.2283301,621.0070474,758.8679245,1348.23235,680.3561317,1055.222354,394.7039285,441.762835,1054.9970103,492.7609615,675.6961969,0.0,1325.061918,415.0392892,522.9000797,447.4953935,597.1124416,666.3782201,496.5673567,396.262145,511.0052553,414.6532353,679.6737589,444.8799617,587.3127066000001,650.3655367,490.0180069,647.6483517,463.3209437,432.9002445,454.3900988,443.7321245,493.7537265,467.3956305,445.586119,450.424311,243.3609468
2005-02-01,7.2,3,8.4,77.7,9.1,28.5,25.330357142857142,514.9094938,349.2116098,1016.4999791,482.3578491,466.1260144,431.3979423,596.273017,683.5925926,1313.877479,707.2705174,1130.197619,369.9721386,407.3485265,1007.6092056,450.4083228,700.4214254000001,0.0,1243.197804,425.1187312,539.7994209,481.4874263,538.6755612000001,594.2341177000001,488.3373505,414.173866,493.72921700000006,372.3137647,682.6928571,429.2267712,602.6593538999999,655.7033770999999,430.3021519,784.1693989,458.1575465,433.8138789,481.5634674,481.9173444000001,446.4259397,442.2516983,463.7212991,459.7796508,363.7066667
2005-03-01,20.5,12,82.4,80.3,7.2,28.5,25.70577956989247,568.0444391999999,380.31617430000006,1122.1397060000002,517.3937824,501.8459461,475.5478249,632.1959288,807.245283,1264.258898,819.7159899000001,1077.6491150000002,392.7866004,422.3538769000001,1137.969677,446.3885482,740.9071588,0.0,1269.985935,438.5396204,577.5195384,451.1416503,583.5720084,560.4221445000001,523.6462913,459.9706789,514.2213088,417.7836676,799.9782609,486.3978736,639.0589144,638.5089888,461.6489495,670.8251366,475.7473719,525.2900375,469.6291813,519.8750989,466.7078645,503.9055246,442.69734,514.5603297,328.6853933
2005-04-01,49.6,10,81.7,81.0,7.0,28.7,26.03680555555556,606.1047511,454.2370321,1236.475779,581.3374244,546.0784581,516.5823474,720.9167646,905.5740741,1582.165026,787.2333414999999,1354.87929,446.3130656,495.7478701,1176.195092,584.3741877,764.2054264,0.0,1586.976881,473.700921,611.6579237999999,604.7726563,720.2541814,598.6100687,610.4062817,471.8773242,609.0624819000001,470.116094,702.6737589,470.8222337,707.36441,775.3,548.6303027,852.3516484,529.8355335,467.2537348,532.9248748,500.080341,585.4213622,490.4112513,552.2139546000001,496.0255195,416.6760563
2005-05-01,58.7,20,331.1,84.6,5.5,28.5,26.36653225806452,603.2285653,443.9949865,1217.244437,610.1630529,562.3571334000001,535.0383177,701.0601523,914.1111111,1465.985164,882.0552835,1257.395972,431.6392665,491.342005,1401.69637,530.9165617,990.6860319,0.0,1499.582684,460.3462405,610.5127530000001,511.2,638.6474347000001,613.7172336,566.1737394,468.289619,577.8646,490.4044,868.5785714,553.3752699,676.6240845,737.2105263,515.5237632,730.1933702,511.4002556,520.1855845,502.7294074,532.4258765,535.8367404,541.786887,497.439293,538.8600067,377.4044944
2005-06-01,27.6,15,82.3,82.7,5.4,28.8,26.405694444444443,635.5170597,432.7830335,1258.619038,583.5620451,576.8498646,535.8350213,764.9310548,791.5272727,1638.856506,841.4132483000001,1411.800713,445.5368805,503.3015793,1233.631666,560.6712442,843.482896,0.0,1594.173965,503.2957251,650.7557665,608.9945736000001,710.9702734,580.5454546,619.5770686999999,488.8809961,611.4457035,493.2503883,692.7857143,496.1563818,738.872606,818.1401869,524.3759054,850.0276243,555.8611638,500.2648639,568.8641535,545.1256118,577.0980518,514.9529186999999,554.3888455,537.1581405000001,301.4298246
2005-07-01,26.3,15,104.0,84.0,5.4,28.0,25.849865591397847,609.5567397,445.7361503,1182.306588,597.0744387,564.0092551,524.6872228999999,696.3739056999999,829.9454546,1482.246404,822.3901534,1323.96409,442.6346909,492.3622991,1260.607252,544.9825775,899.5735876,0.0,1457.221484,475.4320004,612.9109984,514.8291262,658.6171361,600.0840909000001,565.2594776000001,451.9701672,581.6631083,491.4210311,699.5661765,545.329559,684.3251728,735.1335821,517.1811977,747.4143646,521.8192173,498.1714659,519.7301967,544.6937487,538.3502994,534.1338246,525.6859467,534.1054877,282.9702381
2005-08-01,13.8,13,58.5,82.9,6.5,28.2,25.90013440860216,596.3513565000001,422.0334689,1136.542302,595.4764298,556.4664601,510.3080422,726.0368159000001,795.2727273,1421.119937,848.2689983,1270.380569,446.4289071,478.8135982,1197.061583,549.8803922,850.3193610999999,0.0,1332.073627,488.5174648,617.7153952,514.3319846,660.0455376,570.5475524999999,565.6201086,488.9450209,591.8795190999999,484.4643562,782.2537313,505.472769,708.7242336999999,664.8944444,522.6706044,790.7513812,513.614788,497.116555,523.2847039999999,532.0982593,534.680998,502.4214039,515.7009061,521.470266,255.0107527
2005-09-01,43.4,18,175.7,84.2,6.2,28.2,25.996111111111112,596.6988792,431.9868715,1123.487996,557.7238258,541.8300716,512.4876257,684.4730862,777.6792453,1364.601566,797.7734438,1265.364747,449.3391558,466.9937892,1184.517841,525.3795718,814.4637372999999,0.0,1360.370845,456.6198625,602.2561018,516.1677043,638.4117767,642.2818182000001,564.1609885,454.080933,573.3724088,469.7687224,730.9927536,494.3877676,671.8978896,739.4598130999999,531.7756924,773.4086022,503.6149348,507.0967983,508.6412988,523.8839609,524.7991001,512.5228072,496.5675082,524.415314,340.2620321
2005-10-01,76.2,19,314.5,85.2,5.1,27.6,25.58185483870968,600.381997,433.097721,1196.43249,596.4669528,550.4515699,503.8786135,726.6322183,842.0740741,1522.5350560000002,785.8609936,1212.0274009999998,424.5958358,485.9385168,1177.971403,540.6804271,839.7062016,0.0,1541.40562,459.1825784,598.934315,538.8692308,642.4155471,523.5319910999999,569.1760535999999,455.298711,575.1574597,457.6166304,731.5681818,480.0633685,680.7812068,719.2504673,505.4204428,737.2978723,508.2655504,468.5925373,516.6200974,506.18414,542.8014408,495.2723272,506.0078626,493.2508622,312.8235294
2005-11-01,133.8,23,362.9,86.4,4.4,27.3,25.43236111111111,571.5590481,424.6489551,1162.660949,572.9179795,552.6437558,516.0519974,675.1801693,934.0363636,1430.637713,863.4625090000001,1274.946776,434.1089336,476.19329360000006,1315.925102,547.0877049,902.9357803,0.0,1423.384734,470.6274029,591.2146427,496.3366795,630.5417739,656.2159816999999,543.4466725999999,443.56746970000006,556.006919,464.8167347,813.2857143,524.8774765,661.9019355,710.8322097,510.7176433,758.2673797,509.4753234,505.1608877,501.518302,533.5231858,536.8197262,539.6379691,487.749185,523.4428113,358.9946809
2005-12-01,47.3,19,166.0,85.6,4.5,27.3,25.326478494623657,539.2813731,393.534561,1077.951593,549.1374259,507.2428266,475.5588897,651.8383915999999,834.5535714,1288.715355,759.0690062,1116.183529,395.3870523,439.1498166,1146.404515,491.5304317,781.7280872,0.0,1298.685387,436.03457290000006,543.0638801,478.2771429,594.4373564,592.6677345999999,513.1626447,429.5234025,525.8922601,440.1224191,758.4846154,455.0499723,623.7039937999999,662.7488030000001,465.1399058,809.1861702,477.731186,446.0221928,469.5178549,474.0857185,501.4742976,473.7889371,476.4891057,478.0187554,311.8359788
2006-01-01,131.7,20,454.4,87.8,4.8,26.5,24.865591397849464,544.3540429999999,403.7598159,1057.9716181,510.1271201,490.6500966,460.3836557,607.8017727,834.2,1340.624717,696.6855954,1208.20425,400.4804763,450.2375037,1118.711426,477.4226496,763.3737226,0.0,1334.7922709999998,420.2077649,525.5564277999999,447.3833013,591.1132957,572.0022727,504.788285,393.8687724,516.5475214,419.5736645,843.5151515,465.6523308,600.861452,691.4831145,494.1612586,748.2473118,480.8016331,434.2400518,457.04531,465.1097089,491.8923633,457.2259485,455.5611724,462.2525321,332.6157895
2006-02-01,44.5,8,115.5,84.0,7.4,27.5,25.37842261904762,522.0991788,370.6317352,1037.7914004,507.0870075,473.7312136000001,443.5698752,622.5587207,793.8181818,1173.774514,762.7229934999999,1015.6847981,373.2574804,422.9884661,1052.2250442,452.911995,738.6228916,0.0,1242.952632,419.8623241,535.3880612,450.6518304,567.5311275,564.1696429,483.1219514,411.4177471,501.6259023,415.483471,841.8778626,466.024657,615.8410551,624.9161351,457.2533419,696.7945946,448.5654444000001,452.5115507,461.3191208,475.1037277,458.2639713,470.9603861000001,441.7013613,459.3646794,321.3874346
2006-03-01,35.7,9,83.1,81.3,7.1,28.3,25.692204301075268,556.5144208,378.242553,1090.30291,498.7519135,484.5608625,466.4961681,632.1666687999999,690.1454546,1255.597774,749.3241608000001,1032.211215,398.02704860000006,417.8450128,1053.2510975,470.1031845,725.7755887,2670.666667,1246.218109,419.3323693,554.6554079,453.4931035,567.0141334,589.4979592,512.6516703,440.2653154,515.8530396,417.2249423,822.2213741,439.7628792,639.6662982,670.4944444,463.68268050000006,721.8216216,463.8699455,494.25930860000005,471.2481033,489.6824458,474.5757028,487.8583055,446.493401,498.8469273,354.5287958
2006-04-01,43.3,18,239.8,87.0,5.3,27.6,25.854444444444447,582.655401,426.56416450000006,1179.298764,552.5266667,517.9526682000001,481.9413948,711.6956268,806.1454546,1460.602696,772.8556557999999,1328.631368,414.408854,471.7343879,1106.183765,544.8516472,772.3915016999999,3062.0,1495.622678,467.0393632,592.6078067999999,532.5806818,639.9688171,514.3521542,558.1255511,452.6768569,577.0345541,444.7666449,758.7142857,457.8603181,668.3058655,788.7576336,534.7798883,861.7675676,509.1171224,461.6224955,523.7873942,487.1703009,526.7050217,469.9890594,510.9792016,474.0297269,348.5340314
2006-05-01,36.6,14,205.7,85.2,5.0,28.1,26.103629032258063,610.5711196000001,421.5963627,1204.5919620000002,587.8685571,539.4140543,509.6374783,664.5829995,1004.222222,1441.729162,834.1309444999999,1203.989511,426.1588775,473.3350884,1286.172052,528.9065585000001,915.2956938,2847.0,1491.544604,461.5603371,584.5880771999999,476.8037037,622.7157174,625.2547511,557.188236,452.262648,545.1549099,445.5532052,846.0763359,504.5824538,671.5902496,728.1372624,480.91545,762.4301075,505.9804815,507.2138824,488.6211245,519.8383371,529.6212304000001,516.0023414999999,461.9818731,518.6457397,360.8743456
2006-06-01,37.3,16,236.8,86.3,5.5,27.8,25.99152777777778,601.8409073,437.0936162,1155.520302,594.0557772,557.389095,518.9345132999999,739.8111473,840.6981132,1455.453233,827.2901815,1277.791145,446.4131346,482.9908213,1167.059986,531.2584518,818.3051498,1683.5,1433.584236,471.3113681,608.8920107,521.9402597000001,662.5072505,590.5221730000001,577.1362048999999,468.1132688,591.2678225,482.2067374,749.1363636,502.306894,695.3640571000001,725.2564972,523.1497267999999,797.7046632,511.6030475,466.8394301,537.5683008999999,527.4984057,543.8524506,524.6966806,508.1510172,512.8172169,325.195
2006-07-01,54.8,15,153.8,83.8,6.9,28.4,26.21155913978495,584.0767915,431.747804,1122.063093,563.7314616,525.2921348,494.528971,658.5096811999999,826.6229508,1335.548748,778.1121937,1220.153207,423.1861896,478.710522,1207.904304,524.9013142,867.7439168,2173.8,1373.773881,447.980727,583.1142078,446.2967509,633.7735477,632.3348624,540.1330407,448.1079426,548.6306935,465.945232,785.5076923,498.9114454,655.3443599,689.1870057,510.7968411,748.7228261,492.5836995,498.7131327,485.1637186,502.8963062,523.5980824000001,516.7117042,492.1627982,509.0770649,351.9157895
2006-08-01,30.4,14,127.3,81.9,6.7,28.3,25.85456989247312,613.9839928,409.9155784,1154.87921,589.4661264,562.7101734,525.3752106000001,745.9457864,386.6731343,1472.193155,846.6579091,1316.7990610000002,439.7659081000001,487.9257751,1110.186926,557.1311281,781.4750446,0.0,1391.667477,494.725986,622.8848506999999,510.178481,673.1822225000001,610.3757991,593.9931104,491.409619,590.7488826,481.7981341,833.8267717,519.0779545,706.7402437999999,790.769403,534.7076605,801.3169399,536.359486,506.3981966,560.9406097,544.5956364,553.0265289,519.8354349,544.2500429,522.129291,348.4684211
